
##################################################
#             Conservación de Energía            #
##################################################

Step, tiempo, energía total
243, 2.43, 0.438386
244, 2.44, 0.437206
245, 2.45, 0.436032
246, 2.46, 0.434863
247, 2.47, 0.433698
248, 2.48, 0.432539
249, 2.49, 0.431385
250, 2.5, 0.430236
251, 2.51, 0.429092
252, 2.52, 0.427952
253, 2.53, 0.426818
254, 2.54, 0.425689
255, 2.55, 0.424564
256, 2.56, 0.423444
257, 2.57, 0.422329
258, 2.58, 0.421219
259, 2.59, 0.420114
260, 2.6, 0.419013
261, 2.61, 0.417917
262, 2.62, 0.416826
263, 2.63, 0.415739
264, 2.64, 0.414657
265, 2.65, 0.41358
266, 2.66, 0.412507
267, 2.67, 0.411438
268, 2.68, 0.410375
269, 2.69, 0.409315
270, 2.7, 0.40826
271, 2.71, 0.40721
272, 2.72, 0.406164
273, 2.73, 0.405122
274, 2.74, 0.404085
275, 2.75, 0.403052
276, 2.76, 0.402023
277, 2.77, 0.400999
278, 2.78, 0.399979
279, 2.79, 0.398963
280, 2.8, 0.397952
281, 2.81, 0.396945
282, 2.82, 0.395941
283, 2.83, 0.394942
284, 2.84, 0.393947
285, 2.85, 0.392957
286, 2.86, 0.39197
287, 2.87, 0.390987
288, 2.88, 0.390009
289, 2.89, 0.389034
290, 2.9, 0.388064
291, 2.91, 0.387097
292, 2.92, 0.386135
293, 2.93, 0.385176
294, 2.94, 0.384221
295, 2.95, 0.38327
296, 2.96, 0.382323
297, 2.97, 0.38138
298, 2.98, 0.380441
299, 2.99, 0.379505
300, 3, 0.378574
301, 3.01, 0.377646
302, 3.02, 0.376721
303, 3.03, 0.375801
304, 3.04, 0.374884
305, 3.05, 0.373971
306, 3.06, 0.373062
307, 3.07, 0.372156
308, 3.08, 0.371254
309, 3.09, 0.370355
310, 3.1, 0.36946
311, 3.11, 0.368569
312, 3.12, 0.367681
313, 3.13, 0.366797
314, 3.14, 0.365916
315, 3.15, 0.365039
316, 3.16, 0.364165
317, 3.17, 0.363295
318, 3.18, 0.362428
319, 3.19, 0.361564
320, 3.2, 0.360704
321, 3.21, 0.359848
322, 3.22, 0.358994
323, 3.23, 0.358144
324, 3.24, 0.357298
325, 3.25, 0.356454
326, 3.26, 0.355614
327, 3.27, 0.354778
328, 3.28, 0.353944
329, 3.29, 0.353114
330, 3.3, 0.352287
331, 3.31, 0.351463
332, 3.32, 0.350643
333, 3.33, 0.349825
334, 3.34, 0.349011
335, 3.35, 0.3482
336, 3.36, 0.347392
337, 3.37, 0.346587
338, 3.38, 0.345785
339, 3.39, 0.344987
340, 3.4, 0.344191
